region_safe	region_id	source	notes
r00001_1_10000_13506933	m2_region_00001	m2_union	synthetic slug; M2 region union
r00002_1_13932981_60181693	m2_region_00002	m2_union	synthetic slug; M2 region union
r00003_1_60210185_64018040	m2_region_00003	m2_union	synthetic slug; M2 region union
r00004_1_64428477_68410801	m2_region_00004	m2_union	synthetic slug; M2 region union
r00005_1_69537543_103375018	m2_region_00005	m2_union	synthetic slug; M2 region union
r00006_1_104045894_121742961	m2_region_00006	m2_union	synthetic slug; M2 region union
r00007_1_145275408_148280494	m2_region_00007	m2_union	synthetic slug; M2 region union
r00008_1_143448510_176232591	m2_region_00008	m2_union	synthetic slug; M2 region union
r00009_1_176414307_187810404	m2_region_00009	m2_union	synthetic slug; M2 region union
r00010_1_188053842_193702264	m2_region_00010	m2_union	synthetic slug; M2 region union
r00011_1_194078806_215574375	m2_region_00011	m2_union	synthetic slug; M2 region union
r00012_1_216096877_232043004	m2_region_00012	m2_union	synthetic slug; M2 region union
r00013_1_233333285_241369075	m2_region_00013	m2_union	synthetic slug; M2 region union
r00014_1_241533731_248945483	m2_region_00014	m2_union	synthetic slug; M2 region union
r00015_10_14060_10769739	m2_region_00015	m2_union	synthetic slug; M2 region union
r00016_10_11185617_37406228	m2_region_00016	m2_union	synthetic slug; M2 region union
r00017_10_37808984_38861781	m2_region_00017	m2_union	synthetic slug; M2 region union
r00018_10_41884616_46449233	m2_region_00018	m2_union	synthetic slug; M2 region union
r00019_10_46260091_55913959	m2_region_00019	m2_union	synthetic slug; M2 region union
r00020_10_56628120_67012310	m2_region_00020	m2_union	synthetic slug; M2 region union
r00021_10_67142791_83520193	m2_region_00021	m2_union	synthetic slug; M2 region union
r00022_10_83680093_108710653	m2_region_00022	m2_union	synthetic slug; M2 region union
r00023_10_109101296_130633418	m2_region_00023	m2_union	synthetic slug; M2 region union
r00024_10_130931486_133787358	m2_region_00024	m2_union	synthetic slug; M2 region union
r00025_11_60000_19787011	m2_region_00025	m2_union	synthetic slug; M2 region union
r00026_11_19937848_23479900	m2_region_00026	m2_union	synthetic slug; M2 region union
r00027_11_23643784_40502039	m2_region_00027	m2_union	synthetic slug; M2 region union
r00028_11_40827843_54526019	m2_region_00028	m2_union	synthetic slug; M2 region union
r00029_11_54927691_80602581	m2_region_00029	m2_union	synthetic slug; M2 region union
r00030_11_81530445_83732374	m2_region_00030	m2_union	synthetic slug; M2 region union
r00031_11_84103350_86737863	m2_region_00031	m2_union	synthetic slug; M2 region union
r00032_11_86748837_91761554	m2_region_00032	m2_union	synthetic slug; M2 region union
r00033_11_91919472_94487939	m2_region_00033	m2_union	synthetic slug; M2 region union
r00034_11_94566796_105000677	m2_region_00034	m2_union	synthetic slug; M2 region union
r00035_11_105621794_108476507	m2_region_00035	m2_union	synthetic slug; M2 region union
r00036_11_109055713_135076118	m2_region_00036	m2_union	synthetic slug; M2 region union
r00037_12_45738_7732633	m2_region_00037	m2_union	synthetic slug; M2 region union
r00038_12_8890922_30381276	m2_region_00038	m2_union	synthetic slug; M2 region union
r00039_12_30755423_34703753	m2_region_00039	m2_union	synthetic slug; M2 region union
r00040__sub00_12_37463740_57333291	m2_region_00040__sub00	m2_union	synthetic slug; M2 region union
r00040__sub01_12_37463740_67202842	m2_region_00040__sub01	m2_union	synthetic slug; M2 region union
r00040__sub02_12_47202842_77072393	m2_region_00040__sub02	m2_union	synthetic slug; M2 region union
r00040__sub03_12_57072393_86941944	m2_region_00040__sub03	m2_union	synthetic slug; M2 region union
r00040__sub04_12_66941944_96811495	m2_region_00040__sub04	m2_union	synthetic slug; M2 region union
r00040__sub05_12_76811495_106681046	m2_region_00040__sub05	m2_union	synthetic slug; M2 region union
r00040__sub06_12_86681046_116550597	m2_region_00040__sub06	m2_union	synthetic slug; M2 region union
r00040__sub07_12_96550597_126289702	m2_region_00040__sub07	m2_union	synthetic slug; M2 region union
r00040__sub08_12_106420148_126289702	m2_region_00040__sub08	m2_union	synthetic slug; M2 region union
r00041_12_126367294_128367295	m2_region_00041	m2_union	synthetic slug; M2 region union
r00042_12_128590643_133264589	m2_region_00042	m2_union	synthetic slug; M2 region union
r00043_13_18446711_43766469	m2_region_00043	m2_union	synthetic slug; M2 region union
r00044_13_43921855_47638587	m2_region_00044	m2_union	synthetic slug; M2 region union
r00045_13_47918950_70078446	m2_region_00045	m2_union	synthetic slug; M2 region union
r00046_13_70774636_92367673	m2_region_00046	m2_union	synthetic slug; M2 region union
r00047_13_92409842_99564048	m2_region_00047	m2_union	synthetic slug; M2 region union
r00048_13_99909174_114343675	m2_region_00048	m2_union	synthetic slug; M2 region union
r00049_14_19397402_26458973	m2_region_00049	m2_union	synthetic slug; M2 region union
r00050_14_26623591_42103929	m2_region_00050	m2_union	synthetic slug; M2 region union
r00051_14_42978752_45172482	m2_region_00051	m2_union	synthetic slug; M2 region union
r00052_14_45898413_49004503	m2_region_00052	m2_union	synthetic slug; M2 region union
r00053_14_49188639_55790872	m2_region_00053	m2_union	synthetic slug; M2 region union
r00054_14_56548930_66465879	m2_region_00054	m2_union	synthetic slug; M2 region union
r00055_14_66558730_83988141	m2_region_00055	m2_union	synthetic slug; M2 region union
r00056_14_84518181_106880334	m2_region_00056	m2_union	synthetic slug; M2 region union
r00057_15_19794839_20971763	m2_region_00057	m2_union	synthetic slug; M2 region union
r00058_15_21243087_24703424	m2_region_00058	m2_union	synthetic slug; M2 region union
r00059_15_24860641_27794936	m2_region_00059	m2_union	synthetic slug; M2 region union
r00060__sub00_15_28470995_47763866	m2_region_00060__sub00	m2_union	synthetic slug; M2 region union
r00060__sub01_15_28470995_57056737	m2_region_00060__sub01	m2_union	synthetic slug; M2 region union
r00060__sub02_15_37056737_66349608	m2_region_00060__sub02	m2_union	synthetic slug; M2 region union
